Date,Open,High,Low,Close,Adj Close,Volume
2018-11-14,55.430000,55.459999,53.310001,54.189999,53.348351,240900
2018-11-15,53.939999,54.759998,52.770000,54.630001,53.781513,191200
2018-11-16,54.139999,55.439999,53.430000,54.740002,53.889809,278600
2018-11-19,54.549999,55.299999,53.040001,53.900002,53.062855,193700
2018-11-20,53.130001,53.820000,52.389999,52.439999,51.625519,226600
2018-11-21,52.840000,54.290001,52.840000,53.310001,52.482014,104800
2018-11-23,53.209999,55.080002,52.810001,54.740002,53.889809,51000
2018-11-26,55.599998,55.619999,54.060001,54.490002,53.643684,209400
2018-11-27,54.299999,55.299999,54.180000,54.500000,53.653534,145000
2018-11-28,54.700001,56.139999,53.939999,56.009998,55.140079,222300
2018-11-29,55.820000,56.290001,54.820000,55.509998,54.647846,245200
2018-11-30,55.259998,57.930000,55.259998,57.680000,56.784145,334900
2018-12-03,58.389999,58.389999,56.119999,57.549999,56.656162,346000
2018-12-04,57.070000,58.160000,53.700001,53.810001,52.974251,358000
2018-12-06,52.849998,53.279999,51.439999,52.840000,52.019310,252300
2018-12-07,52.849998,53.270000,49.090000,49.790001,49.016685,270400
2018-12-10,49.689999,50.020000,47.459999,48.509998,47.756565,353000
2018-12-11,49.360001,50.200001,48.139999,48.520000,47.766407,170800
2018-12-12,49.360001,50.070000,49.200001,49.560001,48.790260,154600
2018-12-13,49.660000,49.900002,45.630001,45.650002,44.940983,294100
2018-12-14,45.110001,46.720001,44.580002,45.130001,44.429066,290900
2018-12-17,45.040001,46.599998,44.360001,44.919998,44.222321,414000
2018-12-18,45.720001,47.490002,45.369999,46.029999,45.315079,267500
2018-12-19,45.400002,46.279999,43.189999,43.389999,42.716084,325600
2018-12-20,43.380001,44.000000,42.549999,43.630001,42.952362,425300
2018-12-21,43.860001,45.080002,42.380001,43.299999,42.627483,854400
2018-12-24,43.000000,43.730000,42.599998,42.880001,42.214008,170800
2018-12-26,43.290001,44.919998,42.669998,44.730000,44.035278,232700
2018-12-27,44.680000,44.810001,42.900002,44.799999,44.104187,212100
2018-12-28,44.930000,46.180000,44.459999,44.750000,44.153519,195900
2018-12-31,44.889999,45.509998,44.130001,44.470001,43.877251,245500
2019-01-02,43.259998,45.500000,43.259998,45.419998,44.814587,344400
2019-01-03,44.869999,44.869999,42.720001,43.389999,42.811646,157500
2019-01-04,44.080002,45.849998,44.049999,44.950001,44.350853,210300
2019-01-07,44.930000,45.560001,44.560001,45.250000,44.646854,183800
2019-01-08,45.639999,46.889999,45.209999,46.840000,46.215660,335300
2019-01-09,46.840000,48.439999,46.509998,48.209999,47.567398,286600
2019-01-10,47.389999,49.389999,45.830002,49.340000,48.682339,263800
2019-01-11,48.919998,48.980000,47.779999,48.040001,47.399666,373200
2019-01-14,47.590000,47.720001,46.639999,47.419998,46.787930,166100
2019-01-15,47.639999,48.139999,46.459999,46.840000,46.215660,146100
2019-01-16,47.200001,48.290001,47.200001,47.680000,47.044468,312200
2019-01-17,47.529999,48.660000,47.330002,48.490002,47.843674,230500
2019-01-18,48.779999,50.029999,48.000000,49.590000,48.929001,347800
2019-01-22,49.450001,50.200001,48.099998,48.480000,47.833797,244800
2019-01-23,48.770000,49.520000,47.619999,47.700001,47.064198,143200
2019-01-24,47.990002,48.689999,47.619999,48.230000,47.587132,153100
2019-01-25,48.669998,49.259998,48.049999,48.570000,47.922604,143900
2019-01-28,48.290001,50.209999,48.180000,49.849998,49.185543,279900
2019-01-29,50.049999,50.509998,49.639999,49.820000,49.155941,159700
2019-01-30,49.930000,51.270000,49.200001,50.970001,50.290615,188200
2019-01-31,50.630001,51.290001,49.740002,50.950001,50.270882,295200
2019-02-01,52.799999,54.799999,51.740002,51.820000,51.129284,500500
2019-02-04,52.400002,52.700001,51.549999,52.349998,51.652218,210600
2019-02-05,52.349998,52.880001,51.790001,52.580002,51.879154,382200
2019-02-06,53.029999,53.630001,52.660000,52.730000,52.027153,177600
2019-02-07,52.959999,54.889999,52.959999,54.599998,53.872227,290300
2019-02-08,54.419998,54.930000,53.020000,53.779999,53.063156,215400
